,카테고리,제목,청원종료일,참여인원,URL
370,기타,병원의 뒤늦은 대처로 딸을 안아보지도 못하고 억울하게 세상을 떠난 아내의 이야기를 들어주세요,2019-09-27,"63,934",https://www1.president.go.kr/petitions/582336
371,정치개혁,"평화의 걸림돌이 된, 여야3당 대표들을 탄핵하도록 도와주세요",2018-10-18,"63,739",https://www1.president.go.kr/petitions/384461
372,안전/환경,저는 경찰관입니다 국민여러분 제발 도와주세요..,2018-06-14,"63,705",https://www1.president.go.kr/petitions/233999
373,보건복지,중국에서시작한 '우한폐렴' 코로나바이러스  한국에퍼지지않도록해주세요,2020-02-22,"63,674",https://www1.president.go.kr/petitions/584598
374,인권/성평등,여성가족부 장관 정현백 경질을 청원 합니다.,2018-08-06,"63,562",https://www1.president.go.kr/petitions/299611
375,보건복지,제 아들좀 살려주세요,2018-01-18,"63,395",https://www1.president.go.kr/petitions/69547
376,문화/예술/체육/언론,폭압에 죽어간 '故 최숙현 선수'의 억울함을 해결해주십시오.,2020-08-01,"63,186",https://www1.president.go.kr/petitions/590300
377,반려동물,입양보낸지 2시간도채 안되어 도살당했습니다,2020-06-24,"62,997",https://www1.president.go.kr/petitions/589189
378,인권/성평등,29살 꽃다운 딸! 직장 상사의 성추행으로 아파트에서 추락하여 사망.  제발 도와주세요!,2019-04-06,"62,854",https://www1.president.go.kr/petitions/552295
379,행정,시민들을 불안하게 하는 권영진 대구시장을 탄핵 청원합니다.,2020-03-28,"62,365",https://www1.president.go.kr/petitions/585814
380,인권/성평등,세계 최대 아동 성착취물 사이트 W2V의 운영자 손정우의 미국 송환을 강력하게 요청합니다.,2020-08-06,"62,284",https://www1.president.go.kr/petitions/590463
381,육아/교육,교사들은 온라인개학 관련한 구체적인 방안을 교육부에게 요청합니다.,2020-05-02,"61,796",https://www1.president.go.kr/petitions/587656
382,보건복지,모든 외국인(타국국적 교민포함)입국금지+비용 본인부담 격리 요청합니다,2020-04-24,"61,749",https://www1.president.go.kr/petitions/587151
383,보건복지,소아당뇨 환우들의 수입 의료기기에 대한 의료기기법 완화를 요청합니다.,2018-03-01,"61,603",https://www1.president.go.kr/petitions/121323
384,교통/건축/국토,[임산부 교통.사망사고] 故박** 남편 입니다.  도와주세요..,2019-03-20,"61,562",https://www1.president.go.kr/petitions/530492
385,인권/성평등,再) 효과적인 성매매근절을 위하여 포주와 성구매자만 처벌하는 노르딕 모델을 도입해주세요,2018-05-02,"61,187",https://www1.president.go.kr/petitions/182913
386,인권/성평등,"불법사이트 폐쇄, 운영자와 업로더 다운로더를 처벌해주세요.",2018-06-13,"60,632",https://www1.president.go.kr/petitions/232812
387,정치개혁,박병석 국회의장. 강행해야할 때 강행할 의지가 없으시면 사퇴하세요.,2020-07-16,"60,458",https://www1.president.go.kr/petitions/589730
388,인권/성평등,디지털 성범죄 (불법 촬영물) 시청자도 처벌하는 법을 만들어 주세요.,2018-06-13,"60,328",https://www1.president.go.kr/petitions/232074
389,안전/환경,아파트 경비원을 죽음으로 내몬 한 입주민의 갑질과 폭행에대해 엄벌해 주십시오,2020-06-10,"60,174",https://www1.president.go.kr/petitions/588786
390,인권/성평등,검찰 내 성폭력 조사와 성폭력 가해자의 파면을 요청합니다.,2018-02-28,"59,848",https://www1.president.go.kr/petitions/120947
391,보건복지,동반자 등록법 촉구합니다 (지금 곁에 있는 사람이 내 가족입니다),2017-11-19,"59,611",https://www1.president.go.kr/petitions/22556
392,정치개혁,국회의원 연봉삭감 및 각종 특혜 폐지 청원,2020-04-15,"59,457",https://www1.president.go.kr/petitions/586719
393,반려동물,40cm이상 반려견의 입마개 착용의무화 반대 및 반려동물 입양 절차를 까다롭게 만들어주세요 (근본적인 해결책을 만들어주세요),2018-02-08,"59,285",https://www1.president.go.kr/petitions/82466
394,정치개혁,문재인 대통령 탄핵 청원에 대한 반대 청원 및 게시글 삭제 청원,2020-03-27,"59,050",https://www1.president.go.kr/petitions/585671
395,안전/환경,만취상태에서의 범죄는 가중처벌 해주세요,2019-03-27,"58,993",https://www1.president.go.kr/petitions/538675
396,육아/교육,코로나 종식선언 또는 치료제 개발까지 휴교령과 수업 이수 방안을 마련해주세요!,2020-04-22,"58,561",https://www1.president.go.kr/petitions/587044
397,보건복지,"[도와주세요] ""간호사, 의료인인가요? 하인인가요? "" <전국 간호사 처우개선 청원>",2017-12-11,"58,470",https://www1.president.go.kr/petitions/40497
398,문화/예술/체육/언론,아이스하키 단일팀 반대합니다.,2018-02-11,"58,203",https://www1.president.go.kr/petitions/92391
399,행정,박원순시장의 장례를 서울특별시장(葬) 5일장으로 하는 것을 취소해주세요,2020-08-09,"58,084",https://www1.president.go.kr/petitions/590554
400,행정,정순균 강남구청장의 파면을 청원합니다.,2020-04-30,"58,023",https://www1.president.go.kr/petitions/587532
401,인권/성평등,청와대 청원답변 51호 답변을 거부합니다. 다시 제대로된 답변을 요구합니다.,2018-11-11,"57,809",https://www1.president.go.kr/petitions/405226
402,인권/성평등,나쁜 성평등 정책으로 동성애와 동성결혼을 합법화하려는 국가인권정책 기본계획의 국무회의 통과를 반대,2018-08-28,"57,625",https://www1.president.go.kr/petitions/322757
403,인권/성평등,"김학의 ""별장성접대"" 사건을 특검으로 밝혀 주십시오.",2019-04-14,"57,618",https://www1.president.go.kr/petitions/562406
404,안전/환경,김해공항 bmw 살인운전 강력한 처벌 부탁 드립니다.,2018-08-10,"57,613",https://www1.president.go.kr/petitions/303403
405,안전/환경,n번방 디지털 성범죄 수익을 몰수해 피해여성들의 정신적 피해에 대한 치료에 사용해주세요,2020-04-22,"57,229",https://www1.president.go.kr/petitions/586997
406,안전/환경,중노동 과로로 죽어가는 집배원을 제발 살려주세요!,2019-07-28,"56,951",https://www1.president.go.kr/petitions/581123
407,정치개혁,나경원관련 사학재단 검찰조사 청원합니다.,2018-02-22,"56,654",https://www1.president.go.kr/petitions/109496
408,성장동력,대통령님 멈춘 원전 재가동해주십시요,2018-11-26,"56,628",https://www1.president.go.kr/petitions/422404
409,인권/성평등,N번방 담당 오덕식 판사의 권한 자격 박탈을 요청합니다,2020-04-26,"56,609",https://www1.president.go.kr/petitions/587328
410,인권/성평등,지인능욕 및 사이버 성범죄에 강력한 처벌을 요구합니다.,2020-04-22,"56,562",https://www1.president.go.kr/petitions/586946
411,기타,갑질고객때문에 파산위기에 놓인 웨딩컨설팅 업체 사장님을 도와주세요,2019-12-15,"56,495",https://www1.president.go.kr/petitions/583610
412,인권/성평등,"6.9, 한남충 등 워마드의 남성혐오에 면죄부를 준 여성폭력방지기본법의 폐기를 촉구합니다.",2019-01-04,"56,338",https://www1.president.go.kr/petitions/461480
413,육아/교육,조희연 교육감의 사퇴를 요구합니다,2020-04-15,"56,118",https://www1.president.go.kr/petitions/586738
414,문화/예술/체육/언론,검찰 기자실의 폐쇄 또는 운용 방식 전면 개선을 청원합니다,2020-01-05,"56,054",https://www1.president.go.kr/petitions/583942
415,정치개혁,사법적폐의 희생양 최민희의 사면을 청원합니다!,2020-01-18,"55,873",https://www1.president.go.kr/petitions/584116
416,정치개혁,"조국 후보자 청문회 관련해서 개인정보 불법 취득자, 유출자 등을 조사해주시기 바랍니다.",2019-09-20,"55,868",https://www1.president.go.kr/petitions/582196
417,외교/통일/국방,9월 평양공동 선언에 대한 국민공청회를 열어주세요,2018-10-27,"55,825",https://www1.president.go.kr/petitions/390831
418,보건복지,"강간, 폭행, 음주운전 의대생은 의사가 되면 안됩니다.",2020-05-22,"55,786",https://www1.president.go.kr/petitions/588292
419,교통/건축/국토,"7광구에 대한 조사 및 개발, 영유권 주장에 대한 정부의 조속한 조치를 촉구합니다.",2020-04-16,"55,702",https://www1.president.go.kr/petitions/586753
420,안전/환경,소방차가 출동중에 불법 주차된차량을 손상시키거나 밀어버려도 소방관들이 책임 안지도록 해주세요,2018-01-21,"55,677",https://www1.president.go.kr/petitions/71330
421,행정,"조선일보가 주관하는 청룡봉사상 수상자에 대한 경찰 1계급, 특진제도 당장 폐지하여 주십시오.",2019-05-25,"55,427",https://www1.president.go.kr/petitions/579732
422,인권/성평등,N번방 사건 가지고 검찰이 정치질한다는 소문이 파다합니다.,2020-05-07,"55,270",https://www1.president.go.kr/petitions/587872
423,보건복지,건설회사 주5일제,2017-12-25,"55,028",https://www1.president.go.kr/petitions/50742
424,안전/환경,故유호철 대위님을 죽음에 몰게 한 국방부를 문책합니다.,2018-05-01,"54,879",https://www1.president.go.kr/petitions/182648
425,인권/성평등,군대 내 동성간 성관계 합법화 반대,2018-03-25,"54,796",https://www1.president.go.kr/petitions/147985
426,보건복지,마스크를 주민센터 세대명부대로 공급해 주세요,2020-03-29,"54,791",https://www1.president.go.kr/petitions/585884
427,인권/성평등,단역배우두분 자살사건 재조사,2020-04-05,"54,714",https://www1.president.go.kr/petitions/586354
428,육아/교육,"초등학교저학년(1,2학년), 유치원 우선 등교를 반대합니다",2020-05-30,"54,620",https://www1.president.go.kr/petitions/588494
429,인권/성평등,"‘유령수술살인’을 멈추기 위해 ‘성형사망’ 피해자 숫자를 파악해서 알려주십시오. (법무부, 보건복지부)",2020-06-06,"54,264",https://www1.president.go.kr/petitions/588662
430,안전/환경,<제천화재관련 소방공무원 사법처리반대>,2018-02-16,"53,905",https://www1.president.go.kr/petitions/99673
431,행정,폭행으로 억울하게 사망을 한 저희형좀 도와주세요,2019-06-26,"53,893",https://www1.president.go.kr/petitions/580463
432,반려동물,제발 동물 학대 처벌을 강화해주세요.,2017-12-29,"53,666",https://www1.president.go.kr/petitions/55038
433,인권/성평등,유흥탐정. 데이터베이스 성매매남성 조사합시다.,2018-11-16,"53,615",https://www1.president.go.kr/petitions/408989
434,인권/성평등,소년법 폐지를 요청 합니다.,2018-11-30,"53,472",https://www1.president.go.kr/petitions/426148
435,기타,11년지기 절친에게 살해된 경찰관 사건의 명명백백한 진상 규명 및 엄중한 처벌을 청원합니다.,2020-01-26,"53,433",https://www1.president.go.kr/petitions/584219
436,문화/예술/체육/언론,스포츠 적폐 손연재에 대한 검찰 수사를 촉구합니다!!!,2018-03-01,"52,904",https://www1.president.go.kr/petitions/121993
437,문화/예술/체육/언론,게임물관리위원회의 과도한 게임 규제와 게임 탄압을 멈춰주세요.,2020-07-04,"52,872",https://www1.president.go.kr/petitions/589470
438,문화/예술/체육/언론,불법 만화 공유 사이트 마루마루의 폐쇄를 요청합니다.,2017-11-25,"52,836",https://www1.president.go.kr/petitions/23749
439,보건복지,부작용 많은 여성피임약은 광고하고 콘곰광고는 안된다? 콘돔사용 장려 이제는 정부가 해야합니다.,2018-03-14,"52,785",https://www1.president.go.kr/petitions/137542
440,인권/성평등,故 박원순 시장의 서울특별시장(葬) 5일장을 반대합니다.,2020-08-09,"52,705",https://www1.president.go.kr/petitions/590560
441,안전/환경,양진호 심명섭 위디스크 예스파일 등 웹하드를 운영하며 로봇을 만들고 여기어때 운영? 그들을 비호한 윗선을 특검.수사하라.,2018-12-30,"52,697",https://www1.president.go.kr/petitions/457078
442,문화/예술/체육/언론,일본의 성인비디오(AV) 배우의 한국 아이돌 데뷔를 반대합니다.,2018-04-08,"52,592",https://www1.president.go.kr/petitions/162204
443,안전/환경,"새해 벽두, 서울 광진구 **동 한 클럽 인근에서 20대 청년이 폭행으로 숨졌습니다...",2020-02-05,"52,460",https://www1.president.go.kr/petitions/584324
444,육아/교육,"초중고 체험학습 및 수학여행, 수련회 폐지 청원",2018-06-17,"52,139",https://www1.president.go.kr/petitions/236727
445,문화/예술/체육/언론,언론사에 대한 철저한 세무감사 요구합니다.,2018-05-22,"52,038",https://www1.president.go.kr/petitions/208778
446,정치개혁,파행을 거듭하고 있는 20대 대한민국 국회 국회의원 세비 지급을 금지하는 가처분 신청을 청원합니다.,2018-06-03,"51,985",https://www1.president.go.kr/petitions/223164
447,문화/예술/체육/언론,탈북자 *** 조선족들한테한모욕 모함 명예회손밎 공개사과바랍니딘,2019-09-27,"51,840",https://www1.president.go.kr/petitions/582337
448,인권/성평등,"위험직무 수행중 사망한 경찰관, 소방관 순직 심사관련 제도 개선",2018-01-07,"51,702",https://www1.president.go.kr/petitions/61666
449,기타,"유튜버 김** 10분동안 폭행, 소주병으로 머리 내리친 가해자 처벌 강화",2020-04-15,"51,675",https://www1.president.go.kr/petitions/586700
450,인권/성평등,N번방을 비롯하여 디지털 성범죄에 연루된 모든 사람을 공무원직에서 박탈해주세요. 특히 교사로서 일을 하지 못하도록 해주세요.,2020-04-22,"51,432",https://www1.president.go.kr/petitions/587050
451,육아/교육,"장애아동을 2달간 약 71회 학대한 장애아동특수교사(1명) 및 일반교사(1명), 방관자 원장을 엄벌에 처해주세요 ...",2019-08-07,"51,334",https://www1.president.go.kr/petitions/581302
452,인권/성평등,"5월18일 묻지마 폭행 당했습니다, 도와주세요(경찰 수수방관)",2020-06-20,"51,121",https://www1.president.go.kr/petitions/589092
453,육아/교육,"교권을 확립하고, 학생지도 메뉴얼을 만들어주세요.",2018-12-03,"51,031",https://www1.president.go.kr/petitions/431302
454,반려동물,개는 훌륭하다에 방영된 담비 코비를 구조해주십시오,2020-07-29,"51,004",https://www1.president.go.kr/petitions/590200
455,보건복지,국민건강보험으로 외국인들이 공짜치료or할인혜택 받는 미친 짓을 멈춰주세요...,2020-02-27,"50,981",https://www1.president.go.kr/petitions/584631
456,행정,"멸종위기 돌고래를 서핑보드처럼 타고 놀게 하고 돈을 받는 행위, 과연 대한민국은 선진국인가요.",2020-07-18,"50,937",https://www1.president.go.kr/petitions/589801
457,육아/교육,"입학사정관 전형, 학종전형 등등으로 대학에 입학한 사람들의 전수조사를 요청합니다 !!",2019-09-25,"50,814",https://www1.president.go.kr/petitions/582299
458,정치개혁,나경원 자유한국당 의원의 공직선거법 위반과 관련하여  철저한 수사를 촉구합니다.,2019-12-29,"50,773",https://www1.president.go.kr/petitions/583819
459,안전/환경,잔혹한 '관악구 모자 살인 사건'의 피의자 조모씨를 신상공개와 함께 엄벌에 처해 주세요!!,2020-04-23,"50,706",https://www1.president.go.kr/petitions/587070
460,경제민주화,국민연금 주식대여 금지 국민청원,2018-09-23,"50,137",https://www1.president.go.kr/petitions/353707
461,정치개혁,전**목사님의 구속 취소를 청원 합니다,2020-03-28,"49,868",https://www1.president.go.kr/petitions/585798
462,일자리,건설노조에 끌려가는 “대한민국 건설시장” 국민들은 아시나요?,2019-04-24,"49,846",https://www1.president.go.kr/petitions/572535
463,행정,변호사의 세무대리 업무. 과연 정당한 일일까요?,2019-09-27,"49,591",https://www1.president.go.kr/petitions/582334
464,안전/환경,대구시 수돗물 발암물질 검출,2018-07-22,"49,460",https://www1.president.go.kr/petitions/279432
465,교통/건축/국토,음주사망사고 피해자의 딸입니다...음주운전처벌강화에도 저희는 소급적용도 받지 못한다고 합니다.,2018-12-10,"49,245",https://www1.president.go.kr/petitions/438435
466,행정,저희 아이좀 찾아주세요.,2018-06-07,"49,143",https://www1.president.go.kr/petitions/227851
467,보건복지,외국인에게 무분별하게 혜택주는 건강보험 즉시 중단하라!,2018-04-05,"49,137",https://www1.president.go.kr/petitions/159520
468,반려동물,[훈련사 폭행으로 사망한 반려견 더치사건] 동물보호법 강화 및 동물위탁관리에 대한 규제 강화 청원,2019-12-24,"49,130",https://www1.president.go.kr/petitions/583707
469,교통/건축/국토,김현미 국토부 장관 해임요청,2020-07-23,"49,088",https://www1.president.go.kr/petitions/589955
470,기타,한샘 성폭행사건에 대하여 올바른 수사를 요청합니다,2017-12-04,"48,801",https://www1.president.go.kr/petitions/25921
471,인권/성평등,다문화 인권,2019-07-24,"48,394",https://www1.president.go.kr/petitions/581047
472,기타,신천지 교주 이** 국가유공자 취소를 신청합니다!,2020-04-02,"48,252",https://www1.president.go.kr/petitions/586230
473,인권/성평등,우리 딸 죽었지만 제발 이혼시켜주세요. ‘아동학대’와 ‘가정폭력’을 일삼고 임신 중에도 딸을 폭행한 살인마 같은 놈을 구속 시켜주세요,2019-07-19,"48,111",https://www1.president.go.kr/petitions/580967
474,외교/통일/국방,억울하게 미얀마 교도소에 갇혀있는 아버지를 구해주세요.,2019-05-15,"47,698",https://www1.president.go.kr/petitions/579578
475,육아/교육,국공립유치원의 공공성을 보장해주시길 바랍니다.,2019-07-03,"47,428",https://www1.president.go.kr/petitions/580619
476,인권/성평등,'성폭력 범죄의 처벌 등에 관한 특례법'에 대한 실질적인 개정과 의제 강간 연령 상행을 강력하게 촉구합니다.,2020-04-22,"47,320",https://www1.president.go.kr/petitions/587045
477,육아/교육,햄버거병 유발시킨 2년전에도 비리 감사 걸린 유치원,2020-07-25,"46,926",https://www1.president.go.kr/petitions/590068
478,기타,억울하게 저희 신랑의 목숨을 빼앗아간 ** **구의 **병원을 고발합니다.,2018-07-10,"46,831",https://www1.president.go.kr/petitions/267632
479,행정,"N번방  박사 조모군, 갓갓, 와치맨 등 가해자들의 온라인 금전을 몰수하여 아동청소년 성범죄 교육, 피해자지원금, 국가정책지원금으로 쓰이게 해주세요.",2020-04-23,"46,827",https://www1.president.go.kr/petitions/587108
480,정치개혁,이명박의 재산을 국고로 환수하자,2018-04-22,"46,822",https://www1.president.go.kr/petitions/173212
481,외교/통일/국방,일본 경제 제재에 대한 정부의 보복 조치를 요청합니다.,2019-07-31,"46,584",https://www1.president.go.kr/petitions/581166
482,행정,**가 아닌 국민의 경찰이 되기 위한 몸부림,2020-06-21,"46,449",https://www1.president.go.kr/petitions/589140
483,보건복지,강도높은 훈련 후 바로 사망한 소방관이 순직처리가 불투명한 상태입니다.,2018-06-26,"46,282",https://www1.president.go.kr/petitions/245216
484,안전/환경,**군청 앞에서 시민을 무참히 폭행한 조직 폭력배에 엄정한 처벌을 촉구합니다.,2019-07-13,"46,180",https://www1.president.go.kr/petitions/580832
485,인권/성평등,보배드림 성추행 누명 사건 판사 징계를 청원합니다.,2018-10-08,"45,769",https://www1.president.go.kr/petitions/371893
486,반려동물,강릉 배설물 말티즈 학대범 강력히 처벌해주세요,2019-03-13,"45,758",https://www1.president.go.kr/petitions/521764
487,인권/성평등,여성가족부폐지를 문재인정부에게 강력히 촉구합니다!!,2018-04-02,"45,732",https://www1.president.go.kr/petitions/156733
488,일자리,평등이란 이름으로 행해지는 공무원 역차별을 멈춰주세요.,2019-08-02,"45,526",https://www1.president.go.kr/petitions/581196
489,기타,어린이집 영유아 아동학대 성학대 은폐하는 경찰! 구미 경찰과 어린이집 유착관계 수사촉구! 아동학대 피해 부모가 죽어야만 진실된 재수사 할건가요? 구미 경찰서 !!,2019-04-01,"45,515",https://www1.president.go.kr/petitions/543947
490,보건복지,문재인대통령님 간호사들의 고통을 외면하지 말아주세요.,2018-03-20,"45,373",https://www1.president.go.kr/petitions/141413
491,육아/교육,유은혜를 교육부에서 퇴출시켜주십시오.,2020-04-09,"45,228",https://www1.president.go.kr/petitions/586554
492,정치개혁,검찰피해자 조사위원회를 설치해 주세요,2019-12-04,"45,180",https://www1.president.go.kr/petitions/583428
493,문화/예술/체육/언론,일본 우익그룹 아이즈원의 공영 방송 출연을 금지시켜 주세요.,2018-11-27,"45,072",https://www1.president.go.kr/petitions/422932
494,육아/교육,올바른 교육과 교권보호를 위해 강력한 학생 처벌을 청원합니다.,2018-07-22,"45,070",https://www1.president.go.kr/petitions/280212
495,육아/교육,학교폭력 가해자에 대한 합리적인 처벌이 이뤄지길 청원합니다.,2018-12-09,"44,593",https://www1.president.go.kr/petitions/437229
496,문화/예술/체육/언론,서울시민의 세금으로 운영되는 tbs방송의 김어준씨 퇴출 청원합니다,2020-04-08,"44,512",https://www1.president.go.kr/petitions/586503
497,보건복지,국민건강을 위한 '물리치료사법' 제정이 꼭 필요합니다!!,2019-10-02,"44,504",https://www1.president.go.kr/petitions/582414
498,안전/환경,세월호 의인 이종인 대표의 알파잠수 화재사건 재조사를 요구합니다,2018-12-06,"43,961",https://www1.president.go.kr/petitions/433586
499,정치개혁,촛불혁명을 무력으로 진압하려 계획을 모의한 군 관련자들을 처벌하여 주십시오,2018-04-07,"43,792",https://www1.president.go.kr/petitions/161100
500,보건복지,민원들의 폭행에 죽어나가는 사회복지공무원의 처우개선을 부탁드립니다,2020-07-09,"43,721",https://www1.president.go.kr/petitions/589567
501,일자리,주휴수당 제도 폐지를 청원합니다 .,2019-01-25,"43,636",https://www1.president.go.kr/petitions/479516
502,인권/성평등,"최악의 성범죄자 방임, 경찰 검사의 부정행위로 ‘불기소처분’",2020-05-09,"43,598",https://www1.president.go.kr/petitions/587918
503,인권/성평등,아직어린 소녀를 도와주세요,2020-06-03,"43,581",https://www1.president.go.kr/petitions/588530
504,보건복지,대구광역시를 특별재난지역으로 선포해 주실 것을 청원합니다.,2020-03-28,"43,488",https://www1.president.go.kr/petitions/585744
505,일자리,소방공무원 국가직전환  법안통과,2019-01-09,"43,472",https://www1.president.go.kr/petitions/465990
506,반려동물,수의사의 동물학대 사건의 강력한 처벌을 청원합니다.,2020-05-27,"42,997",https://www1.president.go.kr/petitions/588416
507,정치개혁,사실을 말해도 고소당하는 사실적시 명예훼손을 폐지해주세요,2018-03-04,"42,929",https://www1.president.go.kr/petitions/125982
508,육아/교육,코로나19로 인한 어린이집 휴원에 따른 보육료반환하여 양육수당으로 되돌려 달라는 청원을 반대합니다,2020-04-17,"42,860",https://www1.president.go.kr/petitions/586794
509,육아/교육,우리 아이들이 성희롱을 일삼는 교대 출신의 남선생들에게 수업받지 않도록 해주세요.,2019-06-07,"42,841",https://www1.president.go.kr/petitions/580040
510,문화/예술/체육/언론,연예기획사 **엔터테인먼트 회사 연예계활동을 정지 요청합니다,2019-07-12,"42,794",https://www1.president.go.kr/petitions/580828
511,기타,"""동료 괴롭힘 직장 따돌림 "" 20대 여성 극단적 선택",2020-04-22,"42,678",https://www1.president.go.kr/petitions/586925
512,정치개혁,"""문재인 대통령은 '거짓 취임사'와 '반 헌법적 국정'에 대해 소명하고 자진 사퇴 용의를 밝혀 주십시오""",2020-03-08,"42,618",https://www1.president.go.kr/petitions/585015
513,정치개혁,장제원의원의 아들 랩퍼 노엘 (장용준)군의 특검을 요청합니다.,2019-10-09,"42,597",https://www1.president.go.kr/petitions/582576
514,기타,5.18 특별법 개정안 발의에 반대합니다.,2020-06-19,"42,519",https://www1.president.go.kr/petitions/589080
515,보건복지,산부인과를 여성의학과로 명칭변경 하라,2019-12-04,"42,468",https://www1.president.go.kr/petitions/583409
516,육아/교육,경피용 BCG 백신의 비소 기준초과에 대한 안전성 답변을 똑바로 해주십시요,2018-12-07,"42,367",https://www1.president.go.kr/petitions/435341
517,문화/예술/체육/언론,HTTPS 차단에 대한 정확한 답변을 부탁드립니다.,2019-03-23,"42,280",https://www1.president.go.kr/petitions/534502
518,인권/성평등,저같은 성범죄피해자가 생기지않게 법을 강화시켜주세요.,2020-05-28,"42,261",https://www1.president.go.kr/petitions/588444
519,인권/성평등,일베와 다를바없는 남초  커뮤니티의 성희롱게시글과 음란물유포 혐의를 수사해주세요.,2019-08-02,"42,253",https://www1.president.go.kr/petitions/581201
520,기타,"사기꾼에 속에 23살 꽃다운 나이에 살인사건으로 죽은 딸의 죽음을 막지 못한 경찰과 대학의 부적절한 대응에 대하여 재수사해 주시고, 남성에 의한 여성 폭력을 다루는 특별법으로 <김영란법>처럼 <하윤주법>을 만들어 주세요.",2018-06-13,"41,703",https://www1.president.go.kr/petitions/232223
521,육아/교육,저는 초등 1학년 성추행 피해자의 엄마입니다.,2018-11-14,"41,651",https://www1.president.go.kr/petitions/407603
522,행정,중소기업 청년 전월세 대출 나이제한을 형평성 있게 해주십시오.,2019-07-12,"41,629",https://www1.president.go.kr/petitions/580811
523,보건복지,어린이집 점심시간을 근무시간으로 인정해주세요,2018-04-28,"41,365",https://www1.president.go.kr/petitions/180212
524,육아/교육,"‘나쁜 정책’, 무자격교장공모 전면 확대 폐지 청원!",2018-02-03,"41,115",https://www1.president.go.kr/petitions/79404
525,일자리,공무원 고졸 우대정책이야말로 역차별아닙니까? 폐지해주세요.,2019-02-24,"41,091",https://www1.president.go.kr/petitions/506584
526,인권/성평등,n번방 운영자 켈리 징역1년의 처벌을 규탄한다,2020-04-25,"41,016",https://www1.president.go.kr/petitions/587230
527,일자리,"간호사를 위해서, 간호학생을 위해서, 환자를 위해서 정책을 마련해주세요",2018-11-07,"40,926",https://www1.president.go.kr/petitions/400966
528,외교/통일/국방,제주 체류중인 예맨 난민 추방을 청원합니다. 본국으로 송치하기를 청원합니다,2018-07-20,"40,758",https://www1.president.go.kr/petitions/277636
529,기타,군산아내살인사건 피의자 딸 입니다. 저희 아버지의 살인을 밝혀 응당한 벌을 받게 도와주세요.,2019-08-31,"40,742",https://www1.president.go.kr/petitions/581770
530,육아/교육,'초등생 고속도로 휴게소 방치 혐의 교사 벌금 800만원' 재판에 대하여 재심을 요청합니다.,2018-06-17,"40,692",https://www1.president.go.kr/petitions/236537
531,안전/환경,민식이법을 준수할 자신이 없습니다. 법안 개정과 정부 역할을 요구합니다.,2020-04-23,"40,642",https://www1.president.go.kr/petitions/587135
532,안전/환경,"술취한 아파트 주민으로부터 이유없이 폭행 당한 73세 경비원, 저희 아버지가 회복 불가능한 뇌사 상태입니다.",2018-12-02,"40,626",https://www1.president.go.kr/petitions/429334
533,기타,대법원은 이재명 지사를 엄벌 해주십시요,2019-10-30,"40,594",https://www1.president.go.kr/petitions/582917
534,안전/환경,불법폐기물로 인한 일반인의 피해상황,2019-08-08,"40,492",https://www1.president.go.kr/petitions/581315
535,인권/성평등,아동속옷 모델관련하여 처벌규정과 촬영 가이드라인이 필요합니다.,2019-03-25,"40,459",https://www1.president.go.kr/petitions/536640
536,육아/교육,옛날 학교촌지 비리에대한 청원,2018-06-03,"40,358",https://www1.president.go.kr/petitions/223620
537,정치개혁,"올6월 선거, ‘청소년의 투표’로 OOOO당을 심판하고 싶습니다",2018-03-28,"40,285",https://www1.president.go.kr/petitions/151641
538,기타,성추행 의혹이난 김**씨를 수사해주세요,2019-03-31,"40,284",https://www1.president.go.kr/petitions/542369
539,안전/환경,평택 물류창고 인명사고,2018-04-21,"40,239",https://www1.president.go.kr/petitions/172350
540,경제민주화,국민을 상대로 내기를 제안하는 투기꾼 금융감독원장 최흥식의 해임을 촉구합니다.,2018-01-27,"40,149",https://www1.president.go.kr/petitions/76093
541,인권/성평등,국민 생명과 안전을 위협하는 *** 판사를 파면해 주세요.,2019-07-31,"40,129",https://www1.president.go.kr/petitions/581165
542,문화/예술/체육/언론,김대용 축구국제심판 박탈하라,2018-10-01,"39,911",https://www1.president.go.kr/petitions/362550
543,정치개혁,공적책임과 공정성 미달한 적폐언론 *** TV조선 재승인을 불허해야합니다.,2020-04-30,"39,900",https://www1.president.go.kr/petitions/587536
544,보건복지,재난기본소득 100만원 지급으로 코로나19 위기를 극복합시다,2020-04-09,"39,843",https://www1.president.go.kr/petitions/586553
545,안전/환경,피해자를 모욕하고 폭력을 옹호한 동두천 소방관 '파면' 바랍니다.,2018-05-24,"39,838",https://www1.president.go.kr/petitions/210205
546,정치개혁,북한에 쌀만 보내지 말고 민주당의원들도 같이 보내자.,2019-06-26,"39,622",https://www1.president.go.kr/petitions/580458
547,반려동물,구리-***에서 3일간학대로 돌아온강아지,2020-07-30,"39,592",https://www1.president.go.kr/petitions/590223
548,성장동력,정부의 가상화폐에 대한 시각과 접근방법이 우려스럽습니다.,2018-02-14,"39,520",https://www1.president.go.kr/petitions/95512
549,인권/성평등,故박용관군과같은 피해자 생기지 않도록 군인을 보호할수있는 법적제도를 마련해주세요!!!,2019-02-24,"39,520",https://www1.president.go.kr/petitions/506463
550,안전/환경,간호사의 오늘을 지켜주세요,2020-04-01,"39,464",https://www1.president.go.kr/petitions/586026
