,카테고리,제목,청원종료일,참여인원,URL
1041,기타,초등생 성폭행 뒤 협박한 고등학생... '소년법 적용' 논란,2020-04-19,"18,598",https://www1.president.go.kr/petitions/586874
1042,육아/교육,국제중 폐지를 반대합니다,2020-07-10,"18,582",https://www1.president.go.kr/petitions/589619
1043,보건복지,코로나 검사결과만 기다리며 남편은 죽는중 입니다..,2020-04-21,"18,576",https://www1.president.go.kr/petitions/586923
1044,일자리,정규직 채용 조건으로 그동안의 퇴직금을 주지 못한다는 청호나이스를 고발합니다,2018-05-25,"18,551",https://www1.president.go.kr/petitions/211863
1045,일자리,정부의 횡포에 중고자동차 매매업자 다 죽습니다,2019-06-30,"18,544",https://www1.president.go.kr/petitions/580559
1046,교통/건축/국토,가족형태 변화에 따른 주택청약제도의 합리적인 수정 요청,2019-01-29,"18,454",https://www1.president.go.kr/petitions/482681
1047,육아/교육,[생후 25일] ‘심장 판막도 제대로 형성되지 못하고 태어난 **...’ 정부지원 산후도우미로부터 20여일 가까이 지옥 같은 고통을 받아 죽을 뻔한 **를 제발 도와주세요...,2019-12-08,"18,450",https://www1.president.go.kr/petitions/583505
1048,외교/통일/국방,나경원 의원에게 수여된 청룡장을 박탈해 주세요.,2018-02-22,"18,411",https://www1.president.go.kr/petitions/110260
1049,정치개혁,공수처법을 국민투표로 결정합시다.,2019-12-07,"18,408",https://www1.president.go.kr/petitions/583484
1050,육아/교육,양육비 미지급 부모를 아동학대로 '형사처벌' 해야 합니다.,2020-06-03,"18,402",https://www1.president.go.kr/petitions/588540
1051,보건복지,항암 도와주세요,2020-03-28,"18,400",https://www1.president.go.kr/petitions/585764
1052,기타,검찰총장과 중앙지검을 특별감찰 및 공수처 수사후 죄가 입증되면 내란죄로 단죄해 주십시오.,2020-02-12,"18,397",https://www1.president.go.kr/petitions/584431
1053,반려동물,길냥이 급식소 합법화,2020-08-01,"18,391",https://www1.president.go.kr/petitions/590298
1054,정치개혁,정부 개헌안 반대합니다. 내용을 모두 검증받고 국민과 국회의 80%이상 동의가 있어야 됩니다.,2018-04-17,"18,336",https://www1.president.go.kr/petitions/168722
1055,보건복지,보건복지부의 낙태수술 의사 즉각처벌권을 철회해주세요,2018-09-27,"18,332",https://www1.president.go.kr/petitions/357062
1056,인권/성평등,피팅모델을 속여 비공개 모델출사를 하는 범죄를 단죄해 주세요,2018-06-16,"18,258",https://www1.president.go.kr/petitions/235336
1057,안전/환경,"중국 원전 100기 건설까지 11년, 국제적인 제재가 필요합니다.",2018-10-17,"18,200",https://www1.president.go.kr/petitions/383683
1058,정치개혁,자유한국당은 의원직 총사퇴 약속을 꼭 지켜주시기 바랍니다.,2019-05-30,"18,178",https://www1.president.go.kr/petitions/579824
1059,미래,어느 IT개발자의 죽음,2019-01-11,"18,166",https://www1.president.go.kr/petitions/466977
1060,정치개혁,우리 삶 깊숙히 들어와있는 일본산 식재료들,2019-08-04,"18,085",https://www1.president.go.kr/petitions/581242
1061,인권/성평등,안녕하세요. 증인 윤지오입니다. 증인보호법을 간곡히 요청합니다.,2019-05-20,"18,069",https://www1.president.go.kr/petitions/579654
